original_output	shortened_output	source	sheet_or_pages
設計書/A1_プロジェクト管理システム/030_アプリ設計/030_インタフェース設計/外部インタフェース設計書(I／Fファイル)_N21AA001／登録用プロジェクト一覧__sheet_04_1. 外部インタフェース仕様.jpg	設計書/A1_プロジェクト管理システム/030_アプリ設計/030_インタフェース設計/img_3121bb2455.jpg	設計書/A1_プロジェクト管理システム/030_アプリ設計/030_インタフェース設計/外部インタフェース設計書(I／Fファイル)_N21AA001／登録用プロジェクト一覧.xlsx	1. 外部インタフェース仕様
設計書/A1_プロジェクト管理システム/030_アプリ設計/030_インタフェース設計/外部インタフェース設計書(I／Fファイル)_N21AA001／登録用プロジェクト一覧__sheet_06_3.1.プロジェクト情報レコード.jpg	設計書/A1_プロジェクト管理システム/030_アプリ設計/030_インタフェース設計/img_8838c6fbf6.jpg	設計書/A1_プロジェクト管理システム/030_アプリ設計/030_インタフェース設計/外部インタフェース設計書(I／Fファイル)_N21AA001／登録用プロジェクト一覧.xlsx	3.1.プロジェクト情報レコード
設計書/A1_プロジェクト管理システム/030_アプリ設計/030_インタフェース設計/外部インタフェース設計書(I／Fファイル)_N21AA002／期間内プロジェクト一覧__sheet_04_1. 外部インタフェース仕様.jpg	設計書/A1_プロジェクト管理システム/030_アプリ設計/030_インタフェース設計/img_b2192e1d43.jpg	設計書/A1_プロジェクト管理システム/030_アプリ設計/030_インタフェース設計/外部インタフェース設計書(I／Fファイル)_N21AA002／期間内プロジェクト一覧.xlsx	1. 外部インタフェース仕様
設計書/A1_プロジェクト管理システム/030_アプリ設計/030_インタフェース設計/外部インタフェース設計書(I／Fファイル)_N21AA002／期間内プロジェクト一覧__sheet_06_3.1. プロジェクト情報レコード.jpg	設計書/A1_プロジェクト管理システム/030_アプリ設計/030_インタフェース設計/img_5e193870f0.jpg	設計書/A1_プロジェクト管理システム/030_アプリ設計/030_インタフェース設計/外部インタフェース設計書(I／Fファイル)_N21AA002／期間内プロジェクト一覧.xlsx	3.1. プロジェクト情報レコード
設計書/A1_プロジェクト管理システム/030_アプリ設計/030_インタフェース設計/外部インタフェース設計書(I／Fファイル)_N21AA003／ユーザ別従事プロジェクト一覧__sheet_04_1. 外部インタフェース仕様.jpg	設計書/A1_プロジェクト管理システム/030_アプリ設計/030_インタフェース設計/img_1cdd7fba9c.jpg	設計書/A1_プロジェクト管理システム/030_アプリ設計/030_インタフェース設計/外部インタフェース設計書(I／Fファイル)_N21AA003／ユーザ別従事プロジェクト一覧.xlsx	1. 外部インタフェース仕様
設計書/A1_プロジェクト管理システム/030_アプリ設計/030_インタフェース設計/外部インタフェース設計書(I／Fファイル)_N21AA003／ユーザ別従事プロジェクト一覧__sheet_05_2. レコード構成.jpg	設計書/A1_プロジェクト管理システム/030_アプリ設計/030_インタフェース設計/img_b08cae3806.jpg	設計書/A1_プロジェクト管理システム/030_アプリ設計/030_インタフェース設計/外部インタフェース設計書(I／Fファイル)_N21AA003／ユーザ別従事プロジェクト一覧.xlsx	2. レコード構成
設計書/A1_プロジェクト管理システム/030_アプリ設計/030_インタフェース設計/外部インタフェース設計書(I／Fファイル)_N21AA003／ユーザ別従事プロジェクト一覧__sheet_06_3.1. プロジェクト情報レコード.jpg	設計書/A1_プロジェクト管理システム/030_アプリ設計/030_インタフェース設計/img_45a1da7f64.jpg	設計書/A1_プロジェクト管理システム/030_アプリ設計/030_インタフェース設計/外部インタフェース設計書(I／Fファイル)_N21AA003／ユーザ別従事プロジェクト一覧.xlsx	3.1. プロジェクト情報レコード
設計書/A1_プロジェクト管理システム/030_アプリ設計/110_テスト仕様書/単体テスト仕様書_リクエスト・取引単体(バッチ)_BA10601_期間内プロジェクト一覧出力バッチ__sheet_02_変更履歴.jpg	設計書/A1_プロジェクト管理システム/030_アプリ設計/110_テスト仕様書/img_6e52d83d11.jpg	設計書/A1_プロジェクト管理システム/030_アプリ設計/110_テスト仕様書/単体テスト仕様書_リクエスト・取引単体(バッチ)_BA10601_期間内プロジェクト一覧出力バッチ.xlsx	変更履歴
設計書/A1_プロジェクト管理システム/030_アプリ設計/110_テスト仕様書/単体テスト仕様書_リクエスト・取引単体(バッチ)_BA10603_ユーザ別従事プロジェクト抽出バッチ__sheet_02_変更履歴.jpg	設計書/A1_プロジェクト管理システム/030_アプリ設計/110_テスト仕様書/img_b0266c1b21.jpg	設計書/A1_プロジェクト管理システム/030_アプリ設計/110_テスト仕様書/単体テスト仕様書_リクエスト・取引単体(バッチ)_BA10603_ユーザ別従事プロジェクト抽出バッチ.xlsx	変更履歴
設計書/A1_プロジェクト管理システム/030_アプリ設計/110_テスト仕様書/単体テスト仕様書_リクエスト・取引単体(バッチ)_BA10603_ユーザ別従事プロジェクト抽出バッチ__sheet_04_BA1060301.jpg	設計書/A1_プロジェクト管理システム/030_アプリ設計/110_テスト仕様書/img_576e536ad4.jpg	設計書/A1_プロジェクト管理システム/030_アプリ設計/110_テスト仕様書/単体テスト仕様書_リクエスト・取引単体(バッチ)_BA10603_ユーザ別従事プロジェクト抽出バッチ.xlsx	BA1060301
設計書/A1_プロジェクト管理システム/030_アプリ設計/110_テスト仕様書/単体テスト仕様書_リクエスト・取引単体(バッチ)_BA10603_ユーザ別従事プロジェクト抽出バッチ__sheet_05_BA1060301_テスト2回目.jpg	設計書/A1_プロジェクト管理システム/030_アプリ設計/110_テスト仕様書/img_8c58001e38.jpg	設計書/A1_プロジェクト管理システム/030_アプリ設計/110_テスト仕様書/単体テスト仕様書_リクエスト・取引単体(バッチ)_BA10603_ユーザ別従事プロジェクト抽出バッチ.xlsx	BA1060301_テスト2回目
